BEER:,BLACK LABEL,340ML,25
BEER:,CASTLE LAGER,340ML,25
BEER:,CASTLE LITE,340ML,20
BEER:,CASTLE LITE,QUART,40
BEER:,CORONA,340ML,35
BEER:,HANSA,340ML,20
BEER:,HANSA,QUART,35
BEER:,AMSTEL RADLER,340ML,30
BEER:,LION LAGER,QUART,30
BEER:,HEINEKEN LAGER,340ML,35
BEER:,HEINEKEN FREE,340ML,35
BEER:,HEINEKEN SILVER,340ML,35
BEER:,WINDHOEK DRAUGHT,440ML,30
BEER:,WINDHOEK LAGER,340ML,35
BEER:,STELLA ARTOIS,BOTTLE,30
BEER:,TAFEL LAGER,340ML,25
BRANDY:,KLIPDRIFT,SINGLE,30
BRANDY:,KLIPDRIFT,DOUBLE,40
BRANDY:,RICHELIEU,SINGLE,30
BRANDY:,RICHELIEU,DOUBLE,40
BRANDY:,KWV 10YO,SINGLE,40
BRANDY:,KWV 10YO,DOUBLE,50
RUM:,CAPTAIN MORGAN - DARK RUM,SINGLE,30
RUM:,CAPTAIN MORGAN - DARK RUM,DOUBLE,40
RUM:,CAPTAIN MORGAN - SPICED GOLD,SINGLE,30
RUM:,CAPTAIN MORGAN - SPICED GOLD,DOUBLE,40
RUM:,RED HEART,SINGLE,30
RUM:,RED HEART,DOUBLE,40
WHISKEY:,BELLS,SINGLE,30
WHISKEY:,BELLS,DOUBLE,40
WHISKEY:,JOHNNY WALKER BLACK,SINGLE,35
WHISKEY:,JOHNNY WALKER BLACK,DOUBLE,50
WHISKEY:,JAMESON,SINGLE,25
WHISKEY:,JAMESON,DOUBLE,40
WHITE SPIRITS:,CAPE TO RIO CANE,SINGLE,20
WHITE SPIRITS:,CAPE TO RIO CANE,DOUBLE,30
WHITE SPIRITS:,GORDONS GIN,SINGLE,20
WHITE SPIRITS:,GORDONS GIN,DOUBLE,30
WHITE SPIRITS:,BOMBAY SAPPHIRE GIN,SINGLE,40
WHITE SPIRITS:,BOMBAY SAPPHIRE GIN,DOUBLE,50
WHITE SPIRITS:,SMIRNOFF INFUSIONS,SINGLE,20
WHITE SPIRITS:,SMIRNOFF INFUSIONS,DOUBLE,30
WHITE SPIRITS:,SMIRNOFF 1818 VODKA,SINGLE,20
WHITE SPIRITS:,SMIRNOFF 1818 VODKA,DOUBLE,30
CIDERS:,FLYING FISH LEMON,340ML,25
CIDERS:,BERNINI,340ML,25
CIDERS:,HUNTERS DRY,340ML,30
CIDERS:,HUNTERS GOLD,340ML,30
CIDERS:,SAVANNA LIGHT,340ML,35
CIDERS:,SAVANNA DRY ,340ML,30
CIDERS:,SAVANNA FREE,340ML,35
CIDERS:,GINOLOGIST GIN & BITTER LEMON,340ML,40
CIDERS:,GINOLOGIST GIN & TONIC,340ML,45
CIDERS:,GINOLOGIST PINEAPPLE,340ML,40
CIDERS:,GINOLOGIST STRAWBERRY,340ML,40
FORTIFIED SPIRITS:,ALLESVERLOREN,50ML TOT,25
FORTIFIED SPIRITS:,OLD BROWN,50ML TOT,10
FORTIFIED SPIRITS:,BANGBROEK,25ML TOT,15
FORTIFIED SPIRITS:,PIMMS,50ML TOT,15
RED WINE:,PETIT PINOTAGE,GLASS,40
RED WINE:,PETIT PINOTAGE,BOTTLE,135
RED WINE:,PETIT MERLOT,GLASS,40
RED WINE:,PETIT MERLOT,BOTTLE,135
RED WINE:,MCGREGOR SHIRAZ,BOTTLE,120
